ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
160,see,perception verb,ver,ˈveɾ,odja / djubi,ˈdʒubi,ˈɔɟɐ,'d͡ʒubi,ɔʤa,d͡ʒuːbeːɾoː,bikɨ,'da:ɾaɠoɭ,p'wĩ
161,hear,perception verb,ouvir,owˈviɾ,obi,ˈɔbi,ˈobi,o'bi,ɔbi,mojoː,siŋ͡mɨ,'nanuɠoɭ,p'tɛ
162,know,perception verb,saber,sɐˈbeɾ,sabi / sibi ,siˈbi,ˈsɨbi,'sibi,sĩbi,londoː,ɢwinɨ,'ãⁿduɠoɭ,p'mɛ
163,think,perception verb,pensar,pẽˈsaɾ,lembra ,ˈpẽsa,ˈlẽbɾa,'lɛ̃ᵐbɾa,lẽbɾa,miːɾoː,wuntɛ,'aⁿdituɠoɭ,p'lɛs
164,smell,perception verb,cheirar,ʃɐjˈɾaɾ,tcera,kɛˈɾɐ,ˈt͡ʃɛɾɐ,'t͡ʃɛɾa,ʧɛɾa,noːɾoː,pʼã,'uɾuɠoɭ,p'ɲal
165,fear,perception verb,temer,tɨˈmeɾ,medi ,,ˈmedu,'me:ɖi,tɛnɛ ''mɛedu,,ũkɔɭɛ,'wulaɠoɭ,p'lal
166,sleep,perception verb,dormir,duɾˈmiɾ,durmi,duɾˈmi,ˈduɾmɨ,duɾ'mi,duɾmi,siːnoː,pũ,'ɗanaɠoɭ,p'ŋɔi
167,say,perception verb,dizer,diˈzeɾ,papia / fala,ˈfala/ paˈpia,ˈpapja / ˈfala,'fala,fala,djaːmu,ja,'uowlaɠoɭ,p'ʤa
168,I,pro,eu,ˈew,ami,aˈmĩ,aˈmi,ɐ'mi,ami,nte,ɲe,'mĩ,ŋ'ʤi
169,you (singular),pro,tu,ˈtu,abo,aˈbo,aˈbɔ,ɐ'bo,abɔ,ite,wudi,'ã,wi
170,he,pro,ele,ˈelɨ,el,ˈɛli,ˈɛl,'ɛl,ɛl,ate,ũdi,'kãkɔ,nul
171,we,pro,nós,ˈnɔʃ,anos,aˈnɔs,aˈnɔs,a'nɔs,a'nɔs,ntɛlu,ba,mɛ'nɛ̃,n'ʤa
172,you (plural),pro,vós/vocês,ˈvɔʃ / vɔˈseʃ,abos,aˈbos,aˈbɔs,a'bɔs,a'bɔs,ntɛlu,,'ɔnɔ̃,ja'nd
173,they,pro,eles/elas,ˈelɨʃ / ˈɛlɐʃ,elis,ˈelis/ ˈɛlis,ˈelis,'elis,ɛlis,itɛlo,bandi,'kãɓɛ,bu'kul
174,this,pro,isto/isso,ˈiʃtu / ˈisu,es,ˈɛs/ˈuˈotɾu,ˈɛs,'ɛs,ɛs,ŋiŋ,ɡwilkobo,ˈɗũ,wĩŋk
175,that,pro,aquilo,ɐˈkilu,kil,,ˈkelɐ,ˈkila,kila,odoː,gwilkebe,ˈɗũɗa,wanũŋk
176,here,pro,aqui,ɐˈki,li,ˈli ,ˈli,'li,li,jaŋ,,ˈɗɔ,ʧi
177,there,pro,lá,ˈla,la,ˈla,ˈla,'la,la,jɛ,,ˈɗa,ɾũ
178,who,pro,quem,kɐ̃j̃,kin,ˈikĩ,ˈkĩ,'kĩ,kĩŋ,ŋaːdiː,ɦila,'ʜɔ̃bɔ,jãŋ
179,what,pro,o quê,ˈuˈke,kal,ˈke,ˈkal,ˈkal,kal,ŋaːdiːroŋ,wil,'ʜɔ̃ɗũ,ufã
180,where,pro,onde,ˈõdɨ,(na) nunde ,enũˈde,ˈnũdɛ,nũ'dɛ,nũdɛ,muŋto,anuma,'ʜɔ̃tɔ,ʧũ
181,when,pro,quando,ˈkwɐ̃du,kuandu,ˈkalmuˈmẽtu/ˈkalˈtẽpu,,ˈkwãdu,kal dja,watidjumaː,,'ʜɔ̃ɗɛ,lũ
182,how,pro,como,ˈkomu / ˈkumu,kuma,ˈkuma,ˈkuma,ku'ma,kuma,ŋaːdiː,abila,'ʜɔn:ɔ,ũ
183,not,quant,nenhum,nɨˈɲũ,nau,neˈũ,ˈnaw,ˈnɐ̃w̃,naw,anifeŋ,,ɔ'ʔɔ,naw
184,all,quant,todos,ˈtoðuʃ,tudu,ˈtudu,ˈtudu,ˈtudu,tudu,abeː,ŋ͡mĩ,ˈfow,blĩŋg
185,many,quant,muitos,ˈmũj̃tuʃ,muitu ,ˈkiu,ˈt͡ʃiw,mãgaˈdɨ,mãŋga dɛlis,jaːmaː,pʼa,ˈbwi,b'ɾĩbal
186,some,quant,alguns,aɫˈɡũʃ      ,algun,alˈɡũs,aɫˈgũʃ,alˈgũ,algũs,dumoŋdʝwŋ,,"ˈgokːũ
",ba'lõŋ
187,few,quant,poucos,ˈpokuʃ,puku,ˈũbɔˈkadu,ˈpoku,bo'kaɖu,pukus,dimoŋdimaː,duɭe,ˈgokːũ,batĩŋk
188,other,quant,outros,ˈotɾuʃ,utru,ˈutɾus,ˈotɾu,ˈutɾu,utɾu,dumoŋdʝwŋ,koɭo,ˈɠɔɗo,na'lõŋ
189,one,quant,um,ˈũ,un,ˈũ,ˈũ,ˈũ,ũ,kilɛŋ,ɦũde,gɔˈʔɔ,u'lɔlɛ
190,two,quant,dois,ˈdojʃ,duss,ˈdojʃ,ˈdos,ˈdojʃ,dus,fulaː,fũde,ˈiɗi,ŋg'tab
